"","Code","Site.Key","Country","Plant.Start","Plant.End"
"116","JO0075","20.5793 -100.8193 B1050","Mexico",1996-05-01,1996-05-31
"117","NM0009","20.5793 -100.8193 B300","Mexico",2007-03-01,2007-03-31
"118","SP0010","20.5948 -100.8207 B1000","Mexico",NA,NA
"119","CJ0051","20.7450 -101.3270 B1050","Mexico",NA,NA
"120","AC0025","22.2265 -100.8491 B200","Mexico",NA,NA
"121","AC0027","25.3535 -101.0313 B800","Mexico",2013-01-01,2013-12-31
"122","AC0027","25.3535 -101.0313 B800","Mexico",2014-01-01,2014-12-31
"123","NM0069","25.5329 -103.2416 B200","Mexico",2006-05-16,2006-05-16
"124","NM0069","25.5329 -103.2416 B200","Mexico",2007-05-18,2007-05-18
"125","AC0138","27.3677 -109.9278 B600","Mexico",NA,NA
"126","DM0025","27.3677 -109.9278 B600","Mexico",NA,NA
"127","SP0010","27.3841 -109.9142 B200","Mexico",NA,NA
