Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
SP0021,Brazil,"Teaching, Research, and Extension (Selviria) Sao Pablo state University",Crop Rotation,Inorganic Fertilizer,Maize/Wheat,Maize,Crop Yield,kg/ha,7935.06493506493,8292.20779220779
CJ0101,Brazil,"Teaching, Research, and Extension (Selviria) Sao Pablo state University",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-Reduced Tillage-Supplemental Irrigation,NA,Maize,Crop Yield,kg/ha,8036.375,5458.5
CJ0087,Brazil,"Teaching, Research and Extension Farm, Faculty of Engineering, São Paulo State University (UNESP), Ilha Solteira Campus, São Paulo",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,7644.11250000001,6946.5
CJ0085,Brazil,"Teaching, Research and Extension Farm of the Faculty of Engineering, São Paulo State University (UNESP), Ilha Solteira Campus",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Common Bean,Crop Yield,kg/ha,3924.5,2981.5
AC0039,Brazil,Divino1,Multistrata Agroforestry,Organic Fertilizer-pH Control,NA,Coffee,Crop Yield,kg/ha,2513.5,2734.5
AC0039,Brazil,Araponga1,Multistrata Agroforestry,Inorganic Fertilizer-pH Control,NA,Coffee,Crop Yield,kg/ha,2538.5,2295
JO0020,Brazil,Vicosa,Other Agroforestry,Improved Varieties-Inorganic Fertilizer,Palm,Coffee,Crop Yield,kg/ha,1826.64503816794,1405.5776081425
NN0450,Brazil,University of Vicosa,Crop Residue Incorporation,Improved Varieties-Inorganic Fertilizer-Reduced Tillage-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,3040,2665
NN0450,Brazil,University of Vicosa,Reduced Tillage,Crop Residue Incorporation-Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,3040,2305
NN0450,Brazil,University of Vicosa,Reduced Tillage,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,2665,1985
NN0450,Brazil,University of Vicosa,Crop Residue Incorporation,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,2305,1985
NM0048,Brazil,"Ritapolis, MG",Inorganic Fertilizer,"",NA,Maize,Crop Yield,kg/ha,5290.6976744186,1410.85271317829
SP0017,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Deficit Irrigation,Improved Varieties-Inorganic Fertilizer-pH Control-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,3404.21671671671,4068.64677177177
JO0212,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Inorganic Fertilizer,Crop Rotation-pH Control-Reduced Tillage,Maize/Common Bean/Maize/Common Bean,Common Bean,Crop Yield,kg/ha,3386.625,3082.5
JO0212,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Inorganic Fertilizer,Crop Rotation-pH Control-Reduced Tillage,Congo Grass-Maize/Common Bean/Congo Grass-Maize/Common Bean,Common Bean,Crop Yield,kg/ha,3203.8125,2991
JO0212,Brazil,"São Paulo State University (Unesp), School of Agricultural and Veterinarian Sciences, Jaboticabal, São Paulo",Inorganic Fertilizer,Crop Rotation-pH Control-Reduced Tillage,Congo Grass/Common Bean/Congo Grass/Common Bean,Common Bean,Crop Yield,kg/ha,3279.375,3038
AC0022,Brazil,"Embrapa
Agropecuária Oeste",Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,487000,506666.666666667
AC0023,Brazil,Dois Córregos,Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer-Organic Fertilizer-pH Control-Supplemental Irrigation,NA,Coffee,Crop Yield,kg/ha,2050.66666666667,2880
AC0037,Brazil,Dois Córregos,Multistrata Agroforestry,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Coffee,Crop Yield,kg/ha,1807.66666666667,2958.5
JO0021,Brazil,"Dois Córregos,",Other Agroforestry,Improved Varieties-Inorganic Fertilizer-Organic Fertilizer-pH Control-Water Harvesting,NA,Coffee,Crop Yield,kg/ha,2825.14285714286,2402.57142857143
NN0465,Brazil,Piracicaba- Clay,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,21662.5,10100
AC0106,Brazil,Botucatu,pH Control,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,6869.5,5098
CJ0091,Brazil,"Piracicaba municipal, state of São Paulo",Intercropping,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,6838.5,7080.5
NN0465,Brazil,Piracicaba- Sandy Loam,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,10587.5,7500
AC0156,Brazil,"Escola Superior de Agricultura Luiz de Queiroz, University of Sao Paulo",Inorganic Fertilizer,Crop Rotation-Inorganic Fertilizer-Mulch-Reduced Tillage,Black oats/Maize/Lupin/Maize,Maize,Crop Yield,kg/ha,4297.6501305483,1707.57180156658
JO0111,Brazil,Seropédica in Rio de Janeiro State (RJ),Inorganic Fertilizer,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,3875,3850
NM0035,Brazil,Seropedica,Inorganic Fertilizer,Inorganic Fertilizer-pH Control-Supplemental Irrigation,NA,Maize,Crop Yield,kg/ha,7260,2660
JO0050,Brazil,"Botucatu, SP",Inorganic Fertilizer,Crop Residue-Crop Rotation-Inorganic Fertilizer-Reduced Tillage,Guinea Grass/Maize/Guinea Grass/Maize,Maize,Crop Yield,kg/ha,9300,4100
JO0050,Brazil,"Botucatu, SP",Inorganic Fertilizer,Crop Residue-Crop Rotation-Inorganic Fertilizer-Reduced Tillage,Palisade Grass/Maize/Palisade Grass/Maize,Maize,Crop Yield,kg/ha,9850,3850
JO0050,Brazil,"Botucatu, SP",Inorganic Fertilizer,Crop Residue-Crop Rotation-Inorganic Fertilizer-Reduced Tillage,Congo Grass/Maize/Congo Grass/Maize,Maize,Crop Yield,kg/ha,9400,3200
SP0024,Brazil,Lageado Experimental Farm of the UNESP,pH Control,Improved Varieties-Inorganic Fertilizer-Intercropping-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,7787.40157480315,6110.23622047244
DM0021,Brazil,Lageado Experimental Farm-Universidade Estadual Paulista-Botucatu,pH Control,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Silvopasture,Soybean/Congo Grass/Maize/Congo Grass,Maize,Crop Yield,kg/ha,18202,6554
JO0216,Brazil,"Botucatu, Sao Paulo",Improved Varieties,Crop Rotation-Inorganic Fertilizer,Pigeon Pea/Rice/Common Bean,Common Bean,Crop Yield,kg/ha,2019,2679
SP0033,Brazil,Botucatu,pH Control,Crop Rotation-Inorganic Fertilizer-Mulch-Reduced Tillage,Soybean/Maize/Pearl Millet/Pigeon Pea,Maize,Crop Yield,kg/ha,8808.5,6140
SP0039,Brazil,Botucatu,Intercropping,Crop Residue-Improved Varieties-Inorganic Fertilizer-Mulch-pH Control-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,7461,8146
JO0092,Brazil,"Botucatu, São Paulo State",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer-Supplemental Irrigation,NA,Common Bean,Crop Yield,kg/ha,2578.625,2146
AC0111,Brazil,Botucatu,Inorganic Fertilizer,Improved Varieties-Mulch-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,13165.991902834,4404.85829959514
CJ0097,Brazil,Botucatu-NNT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Maize/Black oats/Fallow/Fallow/Fallow/Fallow/Pearl Millet/Black oats/Common Bean/Black oats/Maize/Black oats/Maize/Black oats/Soybean/Fallow/Common Bean/Black oats/Common Bean/Black oats,Common Bean,Crop Yield,kg/ha,1783,1332
CJ0097,Brazil,Botucatu-NNT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,NA,Common Bean,Crop Yield,kg/ha,1913,1332
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Maize/Black oats/Fallow/Fallow/Fallow/Fallow/Pearl Millet/Black oats/Common Bean/Black oats/Maize/Black oats/Maize/Black oats/Soybean/Fallow/Common Bean/Black oats/Common Bean/Black oats,Common Bean,Crop Yield,kg/ha,1862.33333333333,1574
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Fallow/Maize/Black oats/Fallow/Fallow/Fallow/Fallow/Pearl Millet/Black oats/Common Bean/Black oats/Maize/Black oats/Maize/Black oats/Soybean/Fallow/Common Bean/Black oats/Black oats,Common Bean,Crop Yield,kg/ha,2938,1574
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Soybean/Wheat/Fallow/Fallow,Common Bean,Crop Yield,kg/ha,2100,1574
CJ0097,Brazil,Botucatu-ENT,Inorganic Fertilizer,Crop Residue Incorporation-Inorganic Fertilizer-Reduced Tillage,NA,Common Bean,Crop Yield,kg/ha,2140.5,1574
JO0214,Brazil,Botucatu,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,Natural Fallow/Maize,Maize,Crop Yield,kg/ha,8070.85020242914,7236.84210526315
JO0214,Brazil,Botucatu,Inorganic Fertilizer,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Mulch,Brachiaria brizantha/Maize,Maize,Crop Yield,kg/ha,9556.68016194332,9070.85020242914
NN0425,Brazil,Botucatu,Intercropping,Improved Varieties-Inorganic Fertilizer-Reduced Tillage,NA,Maize,Crop Yield,kg/ha,9745,10301
JO0051,Brazil,"Manduri, São Paulo State",pH Control,Improved Varieties-Inorganic Fertilizer,NA,Coffee,Crop Yield,kg/ha,1702.05,1387.8
AC0115,Brazil,State University of Londrina,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,9377.76475,8106.575
AC0028,Brazil,"IAPAR, Londrina",Multistrata Agroforestry,"",NA,Coffee,Crop Yield,kg/ha,2413,2421
JO0085,Brazil,"IAPAR, Londrina",Improved Varieties,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,4443.88,19084.5826923077
JO0085,Brazil,Maringa,Improved Varieties,Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,4090.9111,3401.08076923077
NM0056,Brazil,Southeast Brazil,Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,11453.5104364326,2368.12144212523
AC0115,Brazil,"Antonio Carlos dos Santos Pessoa, Marechal Candido Rondon",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,6927.64325,5851.635
AC0115,Brazil,"ABC Research Foundation, Castro",Inorganic Fertilizer,Improved Varieties-Inorganic Fertilizer,NA,Maize,Crop Yield,kg/ha,9258.912,6463.075
NM0059,Brazil,Regina Farm,pH Control,Crop Rotation-Inorganic Fertilizer,Soybean/Barley/Soybean/Wheat/Soybean/Maize/Soybean,Maize,Crop Yield,kg/ha,9579.66666666667,8531
AC0167,Brazil,Ponta Grosa,Mulch,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Black oats/Maize/Black oats/Soybean/Black oats/Soybean,Maize,Crop Yield,kg/ha,8410,8750
AC0167,Brazil,Ponta Grosa,pH Control,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Reduced Tillage,Black oats/Maize/Black oats/Soybean/Black oats/Soybean,Maize,Crop Yield,kg/ha,8950,8750
AC0167,Brazil,Ponta Grosa,pH Control,Crop Rotation-Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Black oats/Maize/Black oats/Soybean/Black oats/Soybean,Maize,Crop Yield,kg/ha,9160,8410
AC0167,Brazil,Ponta Grosa,Mulch,Crop Rotation-Improved Varieties-Inorganic Fertilizer-pH Control-Reduced Tillage,Black oats/Maize/Black oats/Soybean/Black oats/Soybean,Maize,Crop Yield,kg/ha,9160,8950
CJ0098,Brazil,"Ponta Grossa, PR",pH Control,Crop Residue-Crop Rotation-Inorganic Fertilizer-Mulch-Reduced Tillage,Black oats/Maize/Black oats/Soybean/Black oats/Soybean/Black oats/Soybean/Black oats/Maize/Wheat/Soybean/Wheat/Soybean/Black oats/Common Bean/Common Bean,Maize,Crop Yield,kg/ha,9814.5611227336,7321.54007080785
