Code,Country,Site.ID,PrName,PrName.Base,Diversity,Product.Simple,Out.SubInd,Units,MeanT,MeanC
JO0098,Mexico,Escuela Superior de Apan,Inorganic Fertilizer,pH Control,NA,Maize,Crop Yield,kg/ha,6190,1020
JO0098,Mexico,Escuela Superior de Apan,Inorganic Fertilizer,Biochar-Organic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,6190,3250
JO0084,Brazil,"Experimental Station, Embrapa Coastal Tablelands, Umbau ́ba",Harvest Method,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,1514.41528992549,2735.66569484936
JO0084,Brazil,"Experimental Station, Embrapa Coastal Tablelands, Umbau ́ba",Intercropping,Improved Varieties-Inorganic Fertilizer-pH Control,NA,Maize,Crop Yield,kg/ha,1514.41528992549,2735.66569484936
NM0015,Brazil,"Luís Eduardo Magalhães, Bahia State",Intercropping,Inorganic Fertilizer-pH Control-Silvopasture,Soybean/Crotalaria ochroleuca/Maize-Ruzigrass/Cotton/Fallow/Soybean/Crotalaria ochroleuca/Maize-Ruzigrass,Maize,Crop Yield,kg/ha,7327,7244
AC0088,Brazil,Embrapa Cerrados,Intercropping,Inorganic Fertilizer-Mulch-pH Control,NA,Coffee,Crop Yield,kg/ha,3948,1590
JO0016.1,Brazil,"Sete Lagoas County, Minas Gerais",Intercropping,Improved Varieties-pH Control,NA,Maize,Crop Yield,kg/ha,4584.25,4161
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Pigeon Pea-Rice/Common Bean,Common Bean,Crop Yield,kg/ha,3628,3052
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Crotalaria breviflora-Rice/Common Bean,Common Bean,Crop Yield,kg/ha,3435,3052
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Crotalaria spectabilis-Rice/Common Bean,Common Bean,Crop Yield,kg/ha,3412,3052
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Rice-Stylosanthes guianensis/Common Bean,Common Bean,Crop Yield,kg/ha,2879,3052
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Arachis pintoi-Rice/Common Bean,Common Bean,Crop Yield,kg/ha,2821,3052
NM0076,Brazil,Jaboticabal,Intercropping,Improved Varieties-Inorganic Fertilizer-Mulch-Reduced Tillage,Pearl Millet/Fallow/Calopogonium mucunoides-Rice/Common Bean,Common Bean,Crop Yield,kg/ha,2313,3052
