EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Latin.Name,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate,ECOCROP.Name,ECOCROP.Notes,ICC_Code_1.1,ICC_CropName,Livestock_Group,Livestock_Class,Livestock_Descriptor,CPC_Code_2.1,WFO_Code,UN_Comtrade_Code_1,UN_Comtrade_Description_1,UN_Comtrade_Code_2,UN_Comtrade_Description_2,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes,MapSPAM
c7,Plant,Plant,Cereals,Ce,TRUE,Maize,Maize,Mai,TRUE,Seed,Zea mays,,No,No,b27.2,b41.2,b40.2,Zea mays ssp. mays,,1.02,"maize, ordinary",NA,NA,NA,NA,wfo-0000907754,100510,"cereals; maize (corn), seed",,,,,,,,,,,,,maize
h14,Plant,Plant,Legumes,Le,TRUE,Common Bean,Common Bean,CoBe,TRUE,Seed,Phaseolus vulgaris,Use for dried beans.,Yes,No,b27.1,b41.1,b40.1,Phaseolus vulgaris,,no match,no match,NA,NA,NA,NA,wfo-0000183282,70820,"vegetables, leguminous; beans (Vigna spp., Phaseolus spp.), shelled or unshelled, fresh or chilled",,,,,,,,,,,,,
h15,Plant,Plant,Legumes,Le,TRUE,Common Bean (Pod),Common Bean,CoBe,TRUE,Pod,Phaseolus vulgaris,"Eaten as a green vegetable, string beans, field beans, green beans, haricot beans, etc.",Yes,No,b27.1,b41.1,b40.1,Phaseolus vulgaris,,no match,no match,NA,NA,NA,NA,wfo-0000183282,70820,"vegetables, leguminous; beans (Vigna spp., Phaseolus spp.), shelled or unshelled, fresh or chilled",,,,,,,,,,,,,
k31,Plant,Plant,Vegetables,Ve,TRUE,Common Purslane,Common Purslane,CoPu,TRUE,Leaf,Portulaca oleracea,,No,No,b27.2,b41.2,b40.2,Portulaca oleracea,,no match,no match,NA,NA,NA,NA,wfo-0000484425,no match,,,,,,,,,,,,,,
h14.1,Plant,Plant,Vegetables,Ve,TRUE,Common Bean (Leaf),Common Bean,CoBe,TRUE,Leaf,Phaseolus vulgaris,Use for dried beans.,Yes,No,b27.1,b41.1,b40.1,Phaseolus vulgaris,,no match,no match,NA,NA,NA,NA,wfo-0000183282,no match,,,,,,,,,,,,,,
l4,Plant,Plant,Cash Crops,CaCr,TRUE,Coffee,Coffee,Cof,TRUE,Seed,Coffea sp,,No,Yes,a17.1,a17.2,a17,Coffea sp.,,6.01.01,coffee,NA,NA,NA,NA,wfo-4000008851,90111,coffee; not roasted or decaffeinated,,,,,,,,,,,,,
l4.1,Plant,Plant,Cash Crops,CaCr,TRUE,Coffee Arabica,Arabica,Ara,TRUE,Seed,Coffea arabica,,No,Yes,a17.1,a17.2,a17,Coffea arabica,,6.01.01,coffee,NA,NA,NA,NA,wfo-0000910097,90111,coffee; not roasted or decaffeinated,,,,,,,,,,,,,arabica coffee
l4.2,Plant,Plant,Cash Crops,CaCr,TRUE,Coffee Robusta,Robusta,Rob,TRUE,Seed,Coffea canephora,,No,Yes,a17.1,a17.2,a17,Coffea canephora,,6.01.01,coffee,NA,NA,NA,NA,wfo-0000910571,90111,coffee; not roasted or decaffeinated,,,,,,,,,,,,,robusta coffee
